date,attitude,isPartial
2013-01-06,93,False
2013-01-13,98,False
2013-01-20,88,False
2013-01-27,99,False
2013-02-03,99,False
2013-02-10,92,False
2013-02-17,90,False
2013-02-24,94,False
2013-03-03,91,False
2013-03-10,87,False
2013-03-17,89,False
2013-03-24,94,False
2013-03-31,84,False
2013-04-07,100,False
2013-04-14,87,False
2013-04-21,93,False
2013-04-28,89,False
2013-05-05,87,False
2013-05-12,86,False
2013-05-19,78,False
2013-05-26,75,False
2013-06-02,80,False
2013-06-09,75,False
2013-06-16,77,False
2013-06-23,77,False
2013-06-30,70,False
2013-07-07,71,False
2013-07-14,77,False
2013-07-21,71,False
2013-07-28,75,False
2013-08-04,76,False
2013-08-11,74,False
2013-08-18,83,False
2013-08-25,89,False
2013-09-01,85,False
2013-09-08,89,False
2013-09-15,89,False
2013-09-22,91,False
2013-09-29,91,False
2013-10-06,88,False
2013-10-13,95,False
2013-10-20,84,False
2013-10-27,79,False
2013-11-03,90,False
2013-11-10,84,False
2013-11-17,85,False
2013-11-24,78,False
2013-12-01,81,False
2013-12-08,86,False
2013-12-15,78,False
2013-12-22,58,False
2013-12-29,64,False
