date,attitude,isPartial
2016-01-03,85,False
2016-01-10,91,False
2016-01-17,91,False
2016-01-24,97,False
2016-01-31,100,False
2016-02-07,94,False
2016-02-14,92,False
2016-02-21,93,False
2016-02-28,92,False
2016-03-06,89,False
2016-03-13,82,False
2016-03-20,88,False
2016-03-27,91,False
2016-04-03,95,False
2016-04-10,96,False
2016-04-17,90,False
2016-04-24,95,False
2016-05-01,84,False
2016-05-08,81,False
2016-05-15,79,False
2016-05-22,71,False
2016-05-29,66,False
2016-06-05,69,False
2016-06-12,69,False
2016-06-19,65,False
2016-06-26,65,False
2016-07-03,61,False
2016-07-10,62,False
2016-07-17,68,False
2016-07-24,65,False
2016-07-31,66,False
2016-08-07,76,False
2016-08-14,75,False
2016-08-21,81,False
2016-08-28,81,False
2016-09-04,81,False
2016-09-11,88,False
2016-09-18,88,False
2016-09-25,85,False
2016-10-02,88,False
2016-10-09,84,False
2016-10-16,88,False
2016-10-23,86,False
2016-10-30,85,False
2016-11-06,82,False
2016-11-13,88,False
2016-11-20,72,False
2016-11-27,91,False
2016-12-04,86,False
2016-12-11,85,False
2016-12-18,73,False
2016-12-25,59,False
