geoName,attitude
Alabama,66
Alaska,59
Arizona,57
Arkansas,70
California,60
Colorado,54
Connecticut,47
Delaware,59
District of Columbia,44
Florida,57
Georgia,62
Hawaii,61
Idaho,57
Illinois,54
Indiana,61
Iowa,53
Kansas,100
Kentucky,58
Louisiana,65
Maine,71
Maryland,51
Massachusetts,48
Michigan,61
Minnesota,47
Mississippi,77
Missouri,52
Montana,44
Nebraska,54
Nevada,48
New Hampshire,50
New Jersey,52
New Mexico,57
New York,49
North Carolina,60
North Dakota,41
Ohio,59
Oklahoma,57
Oregon,53
Pennsylvania,52
Rhode Island,61
South Carolina,59
South Dakota,58
Tennessee,57
Texas,62
Utah,56
Vermont,58
Virginia,53
Washington,49
West Virginia,72
Wisconsin,51
Wyoming,62
