date,attitude,isPartial
2015-01-04,83,False
2015-01-11,81,False
2015-01-18,85,False
2015-01-25,93,False
2015-02-01,87,False
2015-02-08,83,False
2015-02-15,88,False
2015-02-22,96,False
2015-03-01,91,False
2015-03-08,94,False
2015-03-15,86,False
2015-03-22,89,False
2015-03-29,83,False
2015-04-05,89,False
2015-04-12,94,False
2015-04-19,91,False
2015-04-26,91,False
2015-05-03,89,False
2015-05-10,88,False
2015-05-17,97,False
2015-05-24,91,False
2015-05-31,79,False
2015-06-07,78,False
2015-06-14,84,False
2015-06-21,78,False
2015-06-28,61,False
2015-07-05,66,False
2015-07-12,63,False
2015-07-19,68,False
2015-07-26,61,False
2015-08-02,61,False
2015-08-09,67,False
2015-08-16,69,False
2015-08-23,76,False
2015-08-30,77,False
2015-09-06,82,False
2015-09-13,79,False
2015-09-20,83,False
2015-09-27,81,False
2015-10-04,78,False
2015-10-11,80,False
2015-10-18,85,False
2015-10-25,80,False
2015-11-01,80,False
2015-11-08,89,False
2015-11-15,100,False
2015-11-22,82,False
2015-11-29,94,False
2015-12-06,90,False
2015-12-13,77,False
2015-12-20,71,False
2015-12-27,67,False
