geoName,attitude
Alabama,84
Alaska,69
Arizona,70
Arkansas,73
California,62
Colorado,69
Connecticut,55
Delaware,72
District of Columbia,47
Florida,71
Georgia,68
Hawaii,90
Idaho,68
Illinois,62
Indiana,74
Iowa,76
Kansas,69
Kentucky,79
Louisiana,85
Maine,78
Maryland,64
Massachusetts,58
Michigan,85
Minnesota,61
Mississippi,95
Missouri,69
Montana,100
Nebraska,70
Nevada,76
New Hampshire,50
New Jersey,62
New Mexico,72
New York,58
North Carolina,71
North Dakota,86
Ohio,75
Oklahoma,67
Oregon,62
Pennsylvania,70
Rhode Island,85
South Carolina,74
South Dakota,71
Tennessee,71
Texas,63
Utah,58
Vermont,77
Virginia,60
Washington,64
West Virginia,82
Wisconsin,76
Wyoming,62
