geoName,attitude
Alabama,70
Alaska,67
Arizona,61
Arkansas,73
California,58
Colorado,66
Connecticut,55
Delaware,55
District of Columbia,51
Florida,61
Georgia,60
Hawaii,68
Idaho,56
Illinois,56
Indiana,64
Iowa,67
Kansas,64
Kentucky,70
Louisiana,68
Maine,100
Maryland,52
Massachusetts,55
Michigan,84
Minnesota,52
Mississippi,65
Missouri,55
Montana,77
Nebraska,66
Nevada,66
New Hampshire,57
New Jersey,54
New Mexico,66
New York,54
North Carolina,65
North Dakota,70
Ohio,62
Oklahoma,67
Oregon,45
Pennsylvania,57
Rhode Island,82
South Carolina,66
South Dakota,73
Tennessee,57
Texas,57
Utah,60
Vermont,67
Virginia,58
Washington,59
West Virginia,77
Wisconsin,61
Wyoming,82
