geoName,obesity
Alabama,67
Alaska,67
Arizona,68
Arkansas,65
California,57
Colorado,69
Connecticut,65
Delaware,89
District of Columbia,60
Florida,55
Georgia,57
Hawaii,76
Idaho,80
Illinois,53
Indiana,80
Iowa,78
Kansas,65
Kentucky,75
Louisiana,65
Maine,74
Maryland,84
Massachusetts,56
Michigan,65
Minnesota,67
Mississippi,93
Missouri,58
Montana,68
Nebraska,75
Nevada,56
New Hampshire,67
New Jersey,65
New Mexico,78
New York,59
North Carolina,73
North Dakota,63
Ohio,71
Oklahoma,66
Oregon,59
Pennsylvania,72
Rhode Island,90
South Carolina,77
South Dakota,100
Tennessee,75
Texas,50
Utah,72
Vermont,75
Virginia,64
Washington,54
West Virginia,83
Wisconsin,64
Wyoming,69
