geoName,obesity
Alabama,68
Alaska,64
Arizona,69
Arkansas,83
California,65
Colorado,60
Connecticut,83
Delaware,85
District of Columbia,65
Florida,59
Georgia,57
Hawaii,68
Idaho,100
Illinois,66
Indiana,77
Iowa,79
Kansas,54
Kentucky,70
Louisiana,62
Maine,85
Maryland,88
Massachusetts,71
Michigan,65
Minnesota,63
Mississippi,76
Missouri,64
Montana,86
Nebraska,78
Nevada,58
New Hampshire,72
New Jersey,65
New Mexico,84
New York,61
North Carolina,75
North Dakota,83
Ohio,74
Oklahoma,61
Oregon,41
Pennsylvania,70
Rhode Island,66
South Carolina,75
South Dakota,96
Tennessee,71
Texas,54
Utah,68
Vermont,77
Virginia,51
Washington,61
West Virginia,89
Wisconsin,73
Wyoming,77
