geoName,obesity
Alabama,70
Alaska,66
Arizona,82
Arkansas,84
California,76
Colorado,63
Connecticut,85
Delaware,100
District of Columbia,72
Florida,63
Georgia,66
Hawaii,86
Idaho,96
Illinois,70
Indiana,78
Iowa,89
Kansas,72
Kentucky,79
Louisiana,82
Maine,95
Maryland,94
Massachusetts,78
Michigan,68
Minnesota,81
Mississippi,98
Missouri,73
Montana,72
Nebraska,84
Nevada,59
New Hampshire,83
New Jersey,70
New Mexico,76
New York,72
North Carolina,80
North Dakota,78
Ohio,69
Oklahoma,65
Oregon,85
Pennsylvania,68
Rhode Island,91
South Carolina,75
South Dakota,96
Tennessee,73
Texas,61
Utah,80
Vermont,93
Virginia,80
Washington,70
West Virginia,98
Wisconsin,77
Wyoming,75
