geoName,obesity
Alabama,75
Alaska,46
Arizona,55
Arkansas,69
California,54
Colorado,57
Connecticut,65
Delaware,90
District of Columbia,68
Florida,54
Georgia,60
Hawaii,68
Idaho,86
Illinois,57
Indiana,79
Iowa,82
Kansas,74
Kentucky,84
Louisiana,80
Maine,60
Maryland,87
Massachusetts,59
Michigan,69
Minnesota,67
Mississippi,91
Missouri,69
Montana,77
Nebraska,71
Nevada,50
New Hampshire,73
New Jersey,66
New Mexico,67
New York,56
North Carolina,71
North Dakota,71
Ohio,71
Oklahoma,71
Oregon,68
Pennsylvania,73
Rhode Island,68
South Carolina,74
South Dakota,100
Tennessee,79
Texas,51
Utah,77
Vermont,82
Virginia,63
Washington,56
West Virginia,73
Wisconsin,69
Wyoming,75
