geoName,obesity
Alabama,71
Alaska,51
Arizona,73
Arkansas,63
California,61
Colorado,65
Connecticut,71
Delaware,100
District of Columbia,53
Florida,55
Georgia,57
Hawaii,68
Idaho,80
Illinois,57
Indiana,82
Iowa,78
Kansas,53
Kentucky,67
Louisiana,63
Maine,74
Maryland,91
Massachusetts,72
Michigan,61
Minnesota,74
Mississippi,90
Missouri,67
Montana,64
Nebraska,65
Nevada,54
New Hampshire,65
New Jersey,66
New Mexico,65
New York,55
North Carolina,76
North Dakota,66
Ohio,71
Oklahoma,54
Oregon,49
Pennsylvania,70
Rhode Island,78
South Carolina,55
South Dakota,83
Tennessee,70
Texas,56
Utah,73
Vermont,69
Virginia,44
Washington,60
West Virginia,74
Wisconsin,71
Wyoming,82
