date,downhearted,isPartial
2015-01-04,14,False
2015-01-11,14,False
2015-01-18,28,False
2015-01-25,54,False
2015-02-01,66,False
2015-02-08,26,False
2015-02-15,41,False
2015-02-22,26,False
2015-03-01,40,False
2015-03-08,0,False
2015-03-15,14,False
2015-03-22,61,False
2015-03-29,57,False
2015-04-05,28,False
2015-04-12,41,False
2015-04-19,69,False
2015-04-26,56,False
2015-05-03,71,False
2015-05-10,100,False
2015-05-17,73,False
2015-05-24,46,False
2015-05-31,59,False
2015-06-07,15,False
2015-06-14,30,False
2015-06-21,0,False
2015-06-28,0,False
2015-07-05,30,False
2015-07-12,15,False
2015-07-19,30,False
2015-07-26,30,False
2015-08-02,0,False
2015-08-09,0,False
2015-08-16,0,False
2015-08-23,14,False
2015-08-30,14,False
2015-09-06,14,False
2015-09-13,69,False
2015-09-20,41,False
2015-09-27,14,False
2015-10-04,55,False
2015-10-11,41,False
2015-10-18,80,False
2015-10-25,54,False
2015-11-01,39,False
2015-11-08,53,False
2015-11-15,26,False
2015-11-22,0,False
2015-11-29,39,False
2015-12-06,52,False
2015-12-13,40,False
2015-12-20,47,False
2015-12-27,29,False
