date,downhearted,isPartial
2014-01-05,29,False
2014-01-12,43,False
2014-01-19,14,False
2014-01-26,72,False
2014-02-02,60,False
2014-02-09,42,False
2014-02-16,71,False
2014-02-23,42,False
2014-03-02,14,False
2014-03-09,29,False
2014-03-16,29,False
2014-03-23,100,False
2014-03-30,43,False
2014-04-06,87,False
2014-04-13,15,False
2014-04-20,15,False
2014-04-27,29,False
2014-05-04,15,False
2014-05-11,60,False
2014-05-18,49,False
2014-05-25,18,False
2014-06-01,17,False
2014-06-08,52,False
2014-06-15,0,False
2014-06-22,35,False
2014-06-29,55,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,34,False
2014-07-27,0,False
2014-08-03,54,False
2014-08-10,34,False
2014-08-17,0,False
2014-08-24,83,False
2014-08-31,17,False
2014-09-07,63,False
2014-09-14,0,False
2014-09-21,48,False
2014-09-28,16,False
2014-10-05,96,False
2014-10-12,48,False
2014-10-19,32,False
2014-10-26,16,False
2014-11-02,16,False
2014-11-09,31,False
2014-11-16,63,False
2014-11-23,50,False
2014-11-30,45,False
2014-12-07,62,False
2014-12-14,17,False
2014-12-21,19,False
2014-12-28,35,False
