date,downhearted,isPartial
2011-01-02,21,False
2011-01-09,0,False
2011-01-16,62,False
2011-01-23,61,False
2011-01-30,78,False
2011-02-06,60,False
2011-02-13,20,False
2011-02-20,82,False
2011-02-27,60,False
2011-03-06,59,False
2011-03-13,21,False
2011-03-20,60,False
2011-03-27,40,False
2011-04-03,100,False
2011-04-10,0,False
2011-04-17,61,False
2011-04-24,60,False
2011-05-01,20,False
2011-05-08,0,False
2011-05-15,20,False
2011-05-22,41,False
2011-05-29,21,False
2011-06-05,20,False
2011-06-12,41,False
2011-06-19,20,False
2011-06-26,41,False
2011-07-03,85,False
2011-07-10,40,False
2011-07-17,40,False
2011-07-24,19,False
2011-07-31,20,False
2011-08-07,39,False
2011-08-14,39,False
2011-08-21,76,False
2011-08-28,19,False
2011-09-04,57,False
2011-09-11,18,False
2011-09-18,0,False
2011-09-25,0,False
2011-10-02,36,False
2011-10-09,36,False
2011-10-16,0,False
2011-10-23,88,False
2011-10-30,18,False
2011-11-06,35,False
2011-11-13,17,False
2011-11-20,0,False
2011-11-27,33,False
2011-12-04,0,False
2011-12-11,17,False
2011-12-18,36,False
2011-12-25,18,False
