date,downhearted,isPartial
2012-01-01,0,False
2012-01-08,33,False
2012-01-15,17,False
2012-01-22,32,False
2012-01-29,49,False
2012-02-05,33,False
2012-02-12,48,False
2012-02-19,82,False
2012-02-26,0,False
2012-03-04,50,False
2012-03-11,0,False
2012-03-18,33,False
2012-03-25,33,False
2012-04-01,51,False
2012-04-08,17,False
2012-04-15,65,False
2012-04-22,16,False
2012-04-29,32,False
2012-05-06,16,False
2012-05-13,66,False
2012-05-20,0,False
2012-05-27,51,False
2012-06-03,34,False
2012-06-10,0,False
2012-06-17,17,False
2012-06-24,66,False
2012-07-01,17,False
2012-07-08,0,False
2012-07-15,33,False
2012-07-22,0,False
2012-07-29,82,False
2012-08-05,32,False
2012-08-12,16,False
2012-08-19,0,False
2012-08-26,0,False
2012-09-02,48,False
2012-09-09,16,False
2012-09-16,62,False
2012-09-23,15,False
2012-09-30,61,False
2012-10-07,15,False
2012-10-14,44,False
2012-10-21,29,False
2012-10-28,15,False
2012-11-04,29,False
2012-11-11,30,False
2012-11-18,31,False
2012-11-25,28,False
2012-12-02,14,False
2012-12-09,0,False
2012-12-16,44,False
2012-12-23,100,False
2012-12-30,45,False
