date,downhearted,isPartial
2016-01-03,68,False
2016-01-10,65,False
2016-01-17,100,False
2016-01-24,44,False
2016-01-31,65,False
2016-02-07,44,False
2016-02-14,54,False
2016-02-21,54,False
2016-02-28,74,False
2016-03-06,32,False
2016-03-13,32,False
2016-03-20,45,False
2016-03-27,22,False
2016-04-03,44,False
2016-04-10,22,False
2016-04-17,65,False
2016-04-24,22,False
2016-05-01,65,False
2016-05-08,67,False
2016-05-15,56,False
2016-05-22,34,False
2016-05-29,12,False
2016-06-05,45,False
2016-06-12,91,False
2016-06-19,23,False
2016-06-26,0,False
2016-07-03,0,False
2016-07-10,35,False
2016-07-17,0,False
2016-07-24,35,False
2016-07-31,23,False
2016-08-07,12,False
2016-08-14,0,False
2016-08-21,24,False
2016-08-28,67,False
2016-09-04,57,False
2016-09-11,33,False
2016-09-18,43,False
2016-09-25,22,False
2016-10-02,44,False
2016-10-09,22,False
2016-10-16,44,False
2016-10-23,33,False
2016-10-30,32,False
2016-11-06,51,False
2016-11-13,11,False
2016-11-20,34,False
2016-11-27,60,False
2016-12-04,50,False
2016-12-11,41,False
2016-12-18,45,False
2016-12-25,11,False
