geoName,defeated
Alabama,71
Alaska,27
Arizona,56
Arkansas,87
California,54
Colorado,35
Connecticut,54
Delaware,75
District of Columbia,44
Florida,63
Georgia,58
Hawaii,37
Idaho,81
Illinois,45
Indiana,57
Iowa,78
Kansas,60
Kentucky,79
Louisiana,43
Maine,52
Maryland,45
Massachusetts,40
Michigan,51
Minnesota,43
Mississippi,67
Missouri,57
Montana,64
Nebraska,50
Nevada,43
New Hampshire,49
New Jersey,57
New Mexico,60
New York,55
North Carolina,64
North Dakota,43
Ohio,58
Oklahoma,61
Oregon,43
Pennsylvania,53
Rhode Island,61
South Carolina,54
South Dakota,38
Tennessee,100
Texas,50
Utah,32
Vermont,46
Virginia,60
Washington,48
West Virginia,94
Wisconsin,55
Wyoming,47
