geoName,defeated
Alabama,70
Alaska,61
Arizona,51
Arkansas,57
California,45
Colorado,42
Connecticut,44
Delaware,31
District of Columbia,35
Florida,46
Georgia,49
Hawaii,36
Idaho,48
Illinois,38
Indiana,58
Iowa,48
Kansas,41
Kentucky,56
Louisiana,67
Maine,47
Maryland,42
Massachusetts,35
Michigan,46
Minnesota,51
Mississippi,64
Missouri,59
Montana,32
Nebraska,38
Nevada,42
New Hampshire,44
New Jersey,45
New Mexico,50
New York,41
North Carolina,57
North Dakota,60
Ohio,53
Oklahoma,58
Oregon,26
Pennsylvania,46
Rhode Island,63
South Carolina,47
South Dakota,56
Tennessee,100
Texas,50
Utah,41
Vermont,58
Virginia,43
Washington,38
West Virginia,56
Wisconsin,37
Wyoming,48
