date,defeated,isPartial
2015-01-04,62,False
2015-01-11,66,False
2015-01-18,77,False
2015-01-25,73,False
2015-02-01,72,False
2015-02-08,66,False
2015-02-15,62,False
2015-02-22,70,False
2015-03-01,57,False
2015-03-08,65,False
2015-03-15,61,False
2015-03-22,62,False
2015-03-29,54,False
2015-04-05,69,False
2015-04-12,63,False
2015-04-19,54,False
2015-04-26,62,False
2015-05-03,68,False
2015-05-10,75,False
2015-05-17,73,False
2015-05-24,52,False
2015-05-31,54,False
2015-06-07,50,False
2015-06-14,43,False
2015-06-21,54,False
2015-06-28,42,False
2015-07-05,36,False
2015-07-12,37,False
2015-07-19,40,False
2015-07-26,41,False
2015-08-02,42,False
2015-08-09,37,False
2015-08-16,39,False
2015-08-23,47,False
2015-08-30,52,False
2015-09-06,50,False
2015-09-13,57,False
2015-09-20,56,False
2015-09-27,60,False
2015-10-04,57,False
2015-10-11,57,False
2015-10-18,59,False
2015-10-25,69,False
2015-11-01,71,False
2015-11-08,60,False
2015-11-15,100,False
2015-11-22,49,False
2015-11-29,57,False
2015-12-06,67,False
2015-12-13,57,False
2015-12-20,45,False
2015-12-27,43,False
