geoName,defeated
Alabama,69
Alaska,61
Arizona,60
Arkansas,48
California,49
Colorado,39
Connecticut,44
Delaware,41
District of Columbia,51
Florida,54
Georgia,54
Hawaii,54
Idaho,52
Illinois,45
Indiana,70
Iowa,73
Kansas,52
Kentucky,85
Louisiana,67
Maine,52
Maryland,53
Massachusetts,42
Michigan,52
Minnesota,57
Mississippi,67
Missouri,53
Montana,58
Nebraska,59
Nevada,48
New Hampshire,46
New Jersey,63
New Mexico,61
New York,43
North Carolina,65
North Dakota,66
Ohio,64
Oklahoma,59
Oregon,33
Pennsylvania,47
Rhode Island,59
South Carolina,62
South Dakota,46
Tennessee,100
Texas,57
Utah,45
Vermont,42
Virginia,59
Washington,39
West Virginia,72
Wisconsin,44
Wyoming,79
