geoName,defeated
Alabama,96
Alaska,47
Arizona,67
Arkansas,81
California,52
Colorado,64
Connecticut,38
Delaware,61
District of Columbia,66
Florida,55
Georgia,67
Hawaii,40
Idaho,33
Illinois,57
Indiana,63
Iowa,48
Kansas,66
Kentucky,63
Louisiana,57
Maine,53
Maryland,56
Massachusetts,50
Michigan,54
Minnesota,54
Mississippi,83
Missouri,57
Montana,87
Nebraska,67
Nevada,47
New Hampshire,65
New Jersey,56
New Mexico,56
New York,53
North Carolina,68
North Dakota,61
Ohio,69
Oklahoma,65
Oregon,30
Pennsylvania,64
Rhode Island,70
South Carolina,67
South Dakota,73
Tennessee,100
Texas,63
Utah,51
Vermont,45
Virginia,53
Washington,48
West Virginia,98
Wisconsin,60
Wyoming,65
