date,defeated,isPartial
2013-01-06,66,False
2013-01-13,66,False
2013-01-20,76,False
2013-01-27,70,False
2013-02-03,74,False
2013-02-10,66,False
2013-02-17,69,False
2013-02-24,89,False
2013-03-03,73,False
2013-03-10,85,False
2013-03-17,68,False
2013-03-24,70,False
2013-03-31,68,False
2013-04-07,75,False
2013-04-14,100,False
2013-04-21,91,False
2013-04-28,86,False
2013-05-05,74,False
2013-05-12,71,False
2013-05-19,86,False
2013-05-26,71,False
2013-06-02,51,False
2013-06-09,57,False
2013-06-16,58,False
2013-06-23,74,False
2013-06-30,51,False
2013-07-07,60,False
2013-07-14,60,False
2013-07-21,48,False
2013-07-28,44,False
2013-08-04,48,False
2013-08-11,48,False
2013-08-18,58,False
2013-08-25,63,False
2013-09-01,62,False
2013-09-08,69,False
2013-09-15,70,False
2013-09-22,76,False
2013-09-29,92,False
2013-10-06,88,False
2013-10-13,73,False
2013-10-20,78,False
2013-10-27,73,False
2013-11-03,82,False
2013-11-10,71,False
2013-11-17,85,False
2013-11-24,58,False
2013-12-01,77,False
2013-12-08,78,False
2013-12-15,79,False
2013-12-22,44,False
2013-12-29,55,False
