date,defeated,isPartial
2016-01-03,76,False
2016-01-10,73,False
2016-01-17,84,False
2016-01-24,81,False
2016-01-31,90,False
2016-02-07,78,False
2016-02-14,69,False
2016-02-21,79,False
2016-02-28,74,False
2016-03-06,87,False
2016-03-13,77,False
2016-03-20,79,False
2016-03-27,69,False
2016-04-03,77,False
2016-04-10,85,False
2016-04-17,79,False
2016-04-24,81,False
2016-05-01,88,False
2016-05-08,84,False
2016-05-15,81,False
2016-05-22,66,False
2016-05-29,69,False
2016-06-05,80,False
2016-06-12,59,False
2016-06-19,56,False
2016-06-26,59,False
2016-07-03,60,False
2016-07-10,80,False
2016-07-17,65,False
2016-07-24,58,False
2016-07-31,52,False
2016-08-07,51,False
2016-08-14,52,False
2016-08-21,57,False
2016-08-28,59,False
2016-09-04,66,False
2016-09-11,71,False
2016-09-18,89,False
2016-09-25,79,False
2016-10-02,85,False
2016-10-09,79,False
2016-10-16,81,False
2016-10-23,84,False
2016-10-30,75,False
2016-11-06,100,False
2016-11-13,93,False
2016-11-20,64,False
2016-11-27,92,False
2016-12-04,91,False
2016-12-11,83,False
2016-12-18,58,False
2016-12-25,69,False
