date,unpredictable,isPartial
2012-01-01,73,False
2012-01-08,58,False
2012-01-15,54,False
2012-01-22,67,False
2012-01-29,63,False
2012-02-05,64,False
2012-02-12,63,False
2012-02-19,53,False
2012-02-26,59,False
2012-03-04,41,False
2012-03-11,49,False
2012-03-18,72,False
2012-03-25,37,False
2012-04-01,71,False
2012-04-08,40,False
2012-04-15,58,False
2012-04-22,76,False
2012-04-29,59,False
2012-05-06,51,False
2012-05-13,49,False
2012-05-20,48,False
2012-05-27,51,False
2012-06-03,56,False
2012-06-10,37,False
2012-06-17,55,False
2012-06-24,51,False
2012-07-01,44,False
2012-07-08,55,False
2012-07-15,51,False
2012-07-22,81,False
2012-07-29,42,False
2012-08-05,50,False
2012-08-12,41,False
2012-08-19,50,False
2012-08-26,66,False
2012-09-02,75,False
2012-09-09,64,False
2012-09-16,67,False
2012-09-23,59,False
2012-09-30,56,False
2012-10-07,68,False
2012-10-14,55,False
2012-10-21,55,False
2012-10-28,57,False
2012-11-04,69,False
2012-11-11,45,False
2012-11-18,71,False
2012-11-25,70,False
2012-12-02,59,False
2012-12-09,60,False
2012-12-16,100,False
2012-12-23,50,False
2012-12-30,50,False
