geoName,unpredictable
Alabama,29
Alaska,0
Arizona,56
Arkansas,65
California,53
Colorado,37
Connecticut,36
Delaware,76
District of Columbia,63
Florida,60
Georgia,55
Hawaii,83
Idaho,39
Illinois,60
Indiana,37
Iowa,29
Kansas,65
Kentucky,47
Louisiana,52
Maine,76
Maryland,49
Massachusetts,50
Michigan,50
Minnesota,55
Mississippi,100
Missouri,51
Montana,0
Nebraska,41
Nevada,44
New Hampshire,36
New Jersey,48
New Mexico,46
New York,48
North Carolina,54
North Dakota,33
Ohio,38
Oklahoma,68
Oregon,44
Pennsylvania,59
Rhode Island,45
South Carolina,39
South Dakota,83
Tennessee,60
Texas,61
Utah,30
Vermont,0
Virginia,62
Washington,42
West Virginia,46
Wisconsin,31
Wyoming,0
