date,unpredictable,isPartial
2014-01-05,69,False
2014-01-12,60,False
2014-01-19,64,False
2014-01-26,68,False
2014-02-02,67,False
2014-02-09,74,False
2014-02-16,74,False
2014-02-23,72,False
2014-03-02,79,False
2014-03-09,76,False
2014-03-16,75,False
2014-03-23,81,False
2014-03-30,68,False
2014-04-06,69,False
2014-04-13,99,False
2014-04-20,81,False
2014-04-27,100,False
2014-05-04,98,False
2014-05-11,54,False
2014-05-18,63,False
2014-05-25,59,False
2014-06-01,70,False
2014-06-08,89,False
2014-06-15,81,False
2014-06-22,64,False
2014-06-29,73,False
2014-07-06,61,False
2014-07-13,65,False
2014-07-20,71,False
2014-07-27,63,False
2014-08-03,61,False
2014-08-10,82,False
2014-08-17,75,False
2014-08-24,69,False
2014-08-31,79,False
2014-09-07,85,False
2014-09-14,76,False
2014-09-21,88,False
2014-09-28,72,False
2014-10-05,63,False
2014-10-12,74,False
2014-10-19,66,False
2014-10-26,54,False
2014-11-02,84,False
2014-11-09,79,False
2014-11-16,69,False
2014-11-23,65,False
2014-11-30,76,False
2014-12-07,66,False
2014-12-14,82,False
2014-12-21,54,False
2014-12-28,63,False
