geoName,unpredictable
Alabama,75
Alaska,0
Arizona,44
Arkansas,32
California,38
Colorado,39
Connecticut,35
Delaware,100
District of Columbia,42
Florida,64
Georgia,71
Hawaii,66
Idaho,51
Illinois,49
Indiana,54
Iowa,47
Kansas,39
Kentucky,29
Louisiana,47
Maine,90
Maryland,54
Massachusetts,44
Michigan,43
Minnesota,35
Mississippi,45
Missouri,49
Montana,0
Nebraska,27
Nevada,41
New Hampshire,36
New Jersey,41
New Mexico,36
New York,39
North Carolina,51
North Dakota,63
Ohio,32
Oklahoma,25
Oregon,34
Pennsylvania,33
Rhode Island,33
South Carolina,62
South Dakota,22
Tennessee,51
Texas,43
Utah,45
Vermont,0
Virginia,44
Washington,36
West Virginia,12
Wisconsin,26
Wyoming,0
