date,unpredictable,isPartial
2013-01-06,50,False
2013-01-13,51,False
2013-01-20,49,False
2013-01-27,88,False
2013-02-03,68,False
2013-02-10,73,False
2013-02-17,61,False
2013-02-24,68,False
2013-03-03,71,False
2013-03-10,67,False
2013-03-17,75,False
2013-03-24,61,False
2013-03-31,68,False
2013-04-07,87,False
2013-04-14,57,False
2013-04-21,65,False
2013-04-28,37,False
2013-05-05,56,False
2013-05-12,49,False
2013-05-19,84,False
2013-05-26,75,False
2013-06-02,79,False
2013-06-09,74,False
2013-06-16,64,False
2013-06-23,63,False
2013-06-30,89,False
2013-07-07,67,False
2013-07-14,75,False
2013-07-21,73,False
2013-07-28,83,False
2013-08-04,79,False
2013-08-11,80,False
2013-08-18,80,False
2013-08-25,59,False
2013-09-01,79,False
2013-09-08,71,False
2013-09-15,78,False
2013-09-22,68,False
2013-09-29,100,False
2013-10-06,66,False
2013-10-13,59,False
2013-10-20,85,False
2013-10-27,82,False
2013-11-03,65,False
2013-11-10,83,False
2013-11-17,86,False
2013-11-24,58,False
2013-12-01,62,False
2013-12-08,83,False
2013-12-15,67,False
2013-12-22,81,False
2013-12-29,68,False
