date,talk,isPartial
2011-01-02,86,False
2011-01-09,88,False
2011-01-16,88,False
2011-01-23,88,False
2011-01-30,87,False
2011-02-06,83,False
2011-02-13,84,False
2011-02-20,87,False
2011-02-27,83,False
2011-03-06,80,False
2011-03-13,79,False
2011-03-20,78,False
2011-03-27,80,False
2011-04-03,80,False
2011-04-10,74,False
2011-04-17,77,False
2011-04-24,78,False
2011-05-01,77,False
2011-05-08,79,False
2011-05-15,78,False
2011-05-22,78,False
2011-05-29,76,False
2011-06-05,78,False
2011-06-12,78,False
2011-06-19,79,False
2011-06-26,79,False
2011-07-03,80,False
2011-07-10,80,False
2011-07-17,78,False
2011-07-24,84,False
2011-07-31,86,False
2011-08-07,83,False
2011-08-14,84,False
2011-08-21,82,False
2011-08-28,85,False
2011-09-04,91,False
2011-09-11,93,False
2011-09-18,100,False
2011-09-25,86,False
2011-10-02,88,False
2011-10-09,86,False
2011-10-16,87,False
2011-10-23,84,False
2011-10-30,84,False
2011-11-06,91,False
2011-11-13,91,False
2011-11-20,93,False
2011-11-27,92,False
2011-12-04,86,False
2011-12-11,92,False
2011-12-18,86,False
2011-12-25,89,False
