geoName,talk
Alabama,85
Alaska,47
Arizona,56
Arkansas,89
California,54
Colorado,53
Connecticut,59
Delaware,63
District of Columbia,53
Florida,57
Georgia,71
Hawaii,56
Idaho,64
Illinois,61
Indiana,75
Iowa,65
Kansas,67
Kentucky,72
Louisiana,96
Maine,84
Maryland,61
Massachusetts,53
Michigan,59
Minnesota,65
Mississippi,100
Missouri,67
Montana,72
Nebraska,62
Nevada,55
New Hampshire,65
New Jersey,59
New Mexico,59
New York,59
North Carolina,73
North Dakota,86
Ohio,62
Oklahoma,58
Oregon,60
Pennsylvania,64
Rhode Island,62
South Carolina,88
South Dakota,100
Tennessee,80
Texas,56
Utah,59
Vermont,65
Virginia,80
Washington,57
West Virginia,76
Wisconsin,64
Wyoming,71
