date,talk,isPartial
2014-01-05,86,False
2014-01-12,89,False
2014-01-19,90,False
2014-01-26,93,False
2014-02-02,93,False
2014-02-09,100,False
2014-02-16,95,False
2014-02-23,96,False
2014-03-02,94,False
2014-03-09,95,False
2014-03-16,94,False
2014-03-23,92,False
2014-03-30,90,False
2014-04-06,89,False
2014-04-13,91,False
2014-04-20,88,False
2014-04-27,89,False
2014-05-04,88,False
2014-05-11,88,False
2014-05-18,86,False
2014-05-25,81,False
2014-06-01,83,False
2014-06-08,81,False
2014-06-15,81,False
2014-06-22,82,False
2014-06-29,83,False
2014-07-06,82,False
2014-07-13,82,False
2014-07-20,82,False
2014-07-27,81,False
2014-08-03,82,False
2014-08-10,82,False
2014-08-17,80,False
2014-08-24,77,False
2014-08-31,81,False
2014-09-07,83,False
2014-09-14,95,False
2014-09-21,84,False
2014-09-28,83,False
2014-10-05,82,False
2014-10-12,78,False
2014-10-19,79,False
2014-10-26,80,False
2014-11-02,99,False
2014-11-09,80,False
2014-11-16,79,False
2014-11-23,83,False
2014-11-30,82,False
2014-12-07,80,False
2014-12-14,80,False
2014-12-21,82,False
2014-12-28,81,False
