date,talk,isPartial
2016-01-03,83,False
2016-01-10,76,False
2016-01-17,77,False
2016-01-24,100,False
2016-01-31,96,False
2016-02-07,90,False
2016-02-14,89,False
2016-02-21,91,False
2016-02-28,86,False
2016-03-06,81,False
2016-03-13,83,False
2016-03-20,85,False
2016-03-27,85,False
2016-04-03,88,False
2016-04-10,86,False
2016-04-17,83,False
2016-04-24,82,False
2016-05-01,82,False
2016-05-08,79,False
2016-05-15,79,False
2016-05-22,78,False
2016-05-29,84,False
2016-06-05,77,False
2016-06-12,79,False
2016-06-19,76,False
2016-06-26,77,False
2016-07-03,75,False
2016-07-10,82,False
2016-07-17,82,False
2016-07-24,80,False
2016-07-31,80,False
2016-08-07,72,False
2016-08-14,72,False
2016-08-21,77,False
2016-08-28,79,False
2016-09-04,82,False
2016-09-11,86,False
2016-09-18,87,False
2016-09-25,81,False
2016-10-02,79,False
2016-10-09,86,False
2016-10-16,81,False
2016-10-23,75,False
2016-10-30,75,False
2016-11-06,75,False
2016-11-13,78,False
2016-11-20,78,False
2016-11-27,80,False
2016-12-04,77,False
2016-12-11,77,False
2016-12-18,73,False
2016-12-25,75,False
