geoName,talk
Alabama,85
Alaska,46
Arizona,56
Arkansas,98
California,50
Colorado,53
Connecticut,57
Delaware,59
District of Columbia,59
Florida,59
Georgia,81
Hawaii,54
Idaho,63
Illinois,56
Indiana,76
Iowa,68
Kansas,69
Kentucky,69
Louisiana,87
Maine,85
Maryland,60
Massachusetts,56
Michigan,59
Minnesota,67
Mississippi,100
Missouri,70
Montana,75
Nebraska,62
Nevada,55
New Hampshire,68
New Jersey,56
New Mexico,61
New York,57
North Carolina,77
North Dakota,78
Ohio,61
Oklahoma,64
Oregon,59
Pennsylvania,66
Rhode Island,59
South Carolina,89
South Dakota,97
Tennessee,83
Texas,57
Utah,62
Vermont,64
Virginia,73
Washington,58
West Virginia,81
Wisconsin,64
Wyoming,68
