geoName,talk
Alabama,82
Alaska,57
Arizona,53
Arkansas,100
California,49
Colorado,54
Connecticut,52
Delaware,60
District of Columbia,50
Florida,54
Georgia,100
Hawaii,49
Idaho,67
Illinois,59
Indiana,75
Iowa,67
Kansas,79
Kentucky,71
Louisiana,81
Maine,84
Maryland,53
Massachusetts,55
Michigan,59
Minnesota,64
Mississippi,88
Missouri,70
Montana,85
Nebraska,69
Nevada,51
New Hampshire,67
New Jersey,48
New Mexico,61
New York,54
North Carolina,71
North Dakota,87
Ohio,61
Oklahoma,58
Oregon,41
Pennsylvania,60
Rhode Island,55
South Carolina,85
South Dakota,100
Tennessee,84
Texas,59
Utah,60
Vermont,70
Virginia,51
Washington,55
West Virginia,76
Wisconsin,62
Wyoming,80
