date,talk,isPartial
2012-01-01,78,False
2012-01-08,78,False
2012-01-15,78,False
2012-01-22,78,False
2012-01-29,79,False
2012-02-05,75,False
2012-02-12,75,False
2012-02-19,75,False
2012-02-26,75,False
2012-03-04,77,False
2012-03-11,74,False
2012-03-18,72,False
2012-03-25,71,False
2012-04-01,70,False
2012-04-08,71,False
2012-04-15,74,False
2012-04-22,71,False
2012-04-29,69,False
2012-05-06,68,False
2012-05-13,71,False
2012-05-20,72,False
2012-05-27,76,False
2012-06-03,79,False
2012-06-10,79,False
2012-06-17,75,False
2012-06-24,73,False
2012-07-01,73,False
2012-07-08,75,False
2012-07-15,77,False
2012-07-22,75,False
2012-07-29,74,False
2012-08-05,74,False
2012-08-12,73,False
2012-08-19,75,False
2012-08-26,76,False
2012-09-02,75,False
2012-09-09,82,False
2012-09-16,100,False
2012-09-23,76,False
2012-09-30,77,False
2012-10-07,74,False
2012-10-14,74,False
2012-10-21,75,False
2012-10-28,71,False
2012-11-04,74,False
2012-11-11,75,False
2012-11-18,77,False
2012-11-25,80,False
2012-12-02,83,False
2012-12-09,81,False
2012-12-16,81,False
2012-12-23,81,False
2012-12-30,81,False
