date,abuse,isPartial
2012-01-01,70,False
2012-01-08,75,False
2012-01-15,75,False
2012-01-22,89,False
2012-01-29,83,False
2012-02-05,91,False
2012-02-12,91,False
2012-02-19,86,False
2012-02-26,91,False
2012-03-04,91,False
2012-03-11,81,False
2012-03-18,82,False
2012-03-25,85,False
2012-04-01,86,False
2012-04-08,89,False
2012-04-15,98,False
2012-04-22,100,False
2012-04-29,93,False
2012-05-06,90,False
2012-05-13,87,False
2012-05-20,80,False
2012-05-27,78,False
2012-06-03,78,False
2012-06-10,80,False
2012-06-17,79,False
2012-06-24,71,False
2012-07-01,65,False
2012-07-08,73,False
2012-07-15,76,False
2012-07-22,75,False
2012-07-29,70,False
2012-08-05,67,False
2012-08-12,70,False
2012-08-19,67,False
2012-08-26,68,False
2012-09-02,67,False
2012-09-09,77,False
2012-09-16,79,False
2012-09-23,79,False
2012-09-30,82,False
2012-10-07,81,False
2012-10-14,81,False
2012-10-21,79,False
2012-10-28,74,False
2012-11-04,81,False
2012-11-11,89,False
2012-11-18,67,False
2012-11-25,87,False
2012-12-02,88,False
2012-12-09,85,False
2012-12-16,65,False
2012-12-23,47,False
2012-12-30,59,False
