date,abuse,isPartial
2014-01-05,43,False
2014-01-12,50,False
2014-01-19,49,False
2014-01-26,49,False
2014-02-02,58,False
2014-02-09,52,False
2014-02-16,52,False
2014-02-23,57,False
2014-03-02,52,False
2014-03-09,53,False
2014-03-16,55,False
2014-03-23,54,False
2014-03-30,56,False
2014-04-06,60,False
2014-04-13,56,False
2014-04-20,57,False
2014-04-27,60,False
2014-05-04,56,False
2014-05-11,54,False
2014-05-18,55,False
2014-05-25,49,False
2014-06-01,47,False
2014-06-08,45,False
2014-06-15,44,False
2014-06-22,45,False
2014-06-29,42,False
2014-07-06,44,False
2014-07-13,45,False
2014-07-20,44,False
2014-07-27,46,False
2014-08-03,45,False
2014-08-10,44,False
2014-08-17,47,False
2014-08-24,45,False
2014-08-31,45,False
2014-09-07,67,False
2014-09-14,100,False
2014-09-21,57,False
2014-09-28,54,False
2014-10-05,56,False
2014-10-12,53,False
2014-10-19,55,False
2014-10-26,56,False
2014-11-02,57,False
2014-11-09,57,False
2014-11-16,60,False
2014-11-23,46,False
2014-11-30,56,False
2014-12-07,55,False
2014-12-14,46,False
2014-12-21,34,False
2014-12-28,37,False
