date,abuse,isPartial
2011-01-02,59,False
2011-01-09,63,False
2011-01-16,63,False
2011-01-23,64,False
2011-01-30,66,False
2011-02-06,73,False
2011-02-13,77,False
2011-02-20,79,False
2011-02-27,83,False
2011-03-06,77,False
2011-03-13,70,False
2011-03-20,78,False
2011-03-27,81,False
2011-04-03,86,False
2011-04-10,87,False
2011-04-17,76,False
2011-04-24,80,False
2011-05-01,81,False
2011-05-08,79,False
2011-05-15,76,False
2011-05-22,71,False
2011-05-29,61,False
2011-06-05,64,False
2011-06-12,60,False
2011-06-19,60,False
2011-06-26,59,False
2011-07-03,63,False
2011-07-10,59,False
2011-07-17,60,False
2011-07-24,56,False
2011-07-31,54,False
2011-08-07,52,False
2011-08-14,53,False
2011-08-21,55,False
2011-08-28,55,False
2011-09-04,57,False
2011-09-11,67,False
2011-09-18,65,False
2011-09-25,71,False
2011-10-02,72,False
2011-10-09,68,False
2011-10-16,73,False
2011-10-23,76,False
2011-10-30,77,False
2011-11-06,100,False
2011-11-13,95,False
2011-11-20,67,False
2011-11-27,85,False
2011-12-04,85,False
2011-12-11,72,False
2011-12-18,54,False
2011-12-25,46,False
