geoName,abuse
Alabama,73
Alaska,84
Arizona,74
Arkansas,80
California,66
Colorado,70
Connecticut,71
Delaware,85
District of Columbia,72
Florida,70
Georgia,66
Hawaii,72
Idaho,84
Illinois,71
Indiana,77
Iowa,98
Kansas,73
Kentucky,82
Louisiana,70
Maine,97
Maryland,85
Massachusetts,72
Michigan,80
Minnesota,77
Mississippi,77
Missouri,84
Montana,90
Nebraska,80
Nevada,61
New Hampshire,79
New Jersey,69
New Mexico,94
New York,68
North Carolina,80
North Dakota,71
Ohio,71
Oklahoma,75
Oregon,51
Pennsylvania,85
Rhode Island,74
South Carolina,74
South Dakota,90
Tennessee,76
Texas,63
Utah,81
Vermont,98
Virginia,62
Washington,65
West Virginia,100
Wisconsin,78
Wyoming,93
