date,abuse,isPartial
2015-01-04,72,False
2015-01-11,79,False
2015-01-18,77,False
2015-01-25,82,False
2015-02-01,84,False
2015-02-08,87,False
2015-02-15,87,False
2015-02-22,92,False
2015-03-01,89,False
2015-03-08,89,False
2015-03-15,87,False
2015-03-22,90,False
2015-03-29,87,False
2015-04-05,91,False
2015-04-12,96,False
2015-04-19,97,False
2015-04-26,100,False
2015-05-03,97,False
2015-05-10,87,False
2015-05-17,90,False
2015-05-24,85,False
2015-05-31,91,False
2015-06-07,84,False
2015-06-14,75,False
2015-06-21,74,False
2015-06-28,69,False
2015-07-05,78,False
2015-07-12,74,False
2015-07-19,75,False
2015-07-26,72,False
2015-08-02,67,False
2015-08-09,72,False
2015-08-16,76,False
2015-08-23,73,False
2015-08-30,77,False
2015-09-06,72,False
2015-09-13,81,False
2015-09-20,85,False
2015-09-27,84,False
2015-10-04,88,False
2015-10-11,83,False
2015-10-18,87,False
2015-10-25,90,False
2015-11-01,93,False
2015-11-08,94,False
2015-11-15,89,False
2015-11-22,68,False
2015-11-29,89,False
2015-12-06,90,False
2015-12-13,77,False
2015-12-20,58,False
2015-12-27,63,False
