geoName,abuse
Alabama,72
Alaska,83
Arizona,72
Arkansas,85
California,62
Colorado,66
Connecticut,69
Delaware,82
District of Columbia,70
Florida,65
Georgia,60
Hawaii,82
Idaho,76
Illinois,66
Indiana,76
Iowa,89
Kansas,70
Kentucky,86
Louisiana,70
Maine,94
Maryland,75
Massachusetts,69
Michigan,73
Minnesota,72
Mississippi,67
Missouri,75
Montana,79
Nebraska,74
Nevada,64
New Hampshire,72
New Jersey,65
New Mexico,91
New York,65
North Carolina,75
North Dakota,85
Ohio,68
Oklahoma,75
Oregon,52
Pennsylvania,84
Rhode Island,82
South Carolina,75
South Dakota,82
Tennessee,73
Texas,62
Utah,72
Vermont,95
Virginia,66
Washington,62
West Virginia,100
Wisconsin,76
Wyoming,89
