geoName,abuse
Alabama,69
Alaska,84
Arizona,70
Arkansas,77
California,61
Colorado,69
Connecticut,74
Delaware,79
District of Columbia,70
Florida,62
Georgia,59
Hawaii,69
Idaho,76
Illinois,63
Indiana,72
Iowa,100
Kansas,73
Kentucky,82
Louisiana,67
Maine,97
Maryland,75
Massachusetts,74
Michigan,71
Minnesota,75
Mississippi,70
Missouri,76
Montana,67
Nebraska,79
Nevada,59
New Hampshire,84
New Jersey,65
New Mexico,90
New York,69
North Carolina,72
North Dakota,78
Ohio,68
Oklahoma,78
Oregon,84
Pennsylvania,98
Rhode Island,72
South Carolina,63
South Dakota,81
Tennessee,74
Texas,61
Utah,73
Vermont,90
Virginia,73
Washington,62
West Virginia,89
Wisconsin,72
Wyoming,76
