date,abuse,isPartial
2016-01-03,75,False
2016-01-10,75,False
2016-01-17,76,False
2016-01-24,75,False
2016-01-31,80,False
2016-02-07,81,False
2016-02-14,79,False
2016-02-21,84,False
2016-02-28,94,False
2016-03-06,85,False
2016-03-13,79,False
2016-03-20,82,False
2016-03-27,85,False
2016-04-03,92,False
2016-04-10,100,False
2016-04-17,90,False
2016-04-24,93,False
2016-05-01,86,False
2016-05-08,86,False
2016-05-15,84,False
2016-05-22,79,False
2016-05-29,77,False
2016-06-05,76,False
2016-06-12,66,False
2016-06-19,67,False
2016-06-26,70,False
2016-07-03,66,False
2016-07-10,66,False
2016-07-17,69,False
2016-07-24,70,False
2016-07-31,67,False
2016-08-07,67,False
2016-08-14,63,False
2016-08-21,66,False
2016-08-28,71,False
2016-09-04,70,False
2016-09-11,79,False
2016-09-18,85,False
2016-09-25,76,False
2016-10-02,78,False
2016-10-09,80,False
2016-10-16,83,False
2016-10-23,81,False
2016-10-30,82,False
2016-11-06,74,False
2016-11-13,84,False
2016-11-20,64,False
2016-11-27,81,False
2016-12-04,84,False
2016-12-11,75,False
2016-12-18,62,False
2016-12-25,55,False
