geoName,abuse
Alabama,76
Alaska,81
Arizona,68
Arkansas,85
California,60
Colorado,65
Connecticut,70
Delaware,81
District of Columbia,64
Florida,65
Georgia,60
Hawaii,66
Idaho,71
Illinois,60
Indiana,71
Iowa,95
Kansas,62
Kentucky,78
Louisiana,71
Maine,85
Maryland,74
Massachusetts,70
Michigan,70
Minnesota,70
Mississippi,67
Missouri,77
Montana,69
Nebraska,68
Nevada,62
New Hampshire,78
New Jersey,63
New Mexico,84
New York,63
North Carolina,73
North Dakota,80
Ohio,67
Oklahoma,68
Oregon,58
Pennsylvania,95
Rhode Island,75
South Carolina,65
South Dakota,77
Tennessee,71
Texas,57
Utah,69
Vermont,89
Virginia,49
Washington,59
West Virginia,100
Wisconsin,71
Wyoming,72
