geoName,abuse
Alabama,69
Alaska,73
Arizona,65
Arkansas,77
California,55
Colorado,62
Connecticut,64
Delaware,100
District of Columbia,57
Florida,64
Georgia,55
Hawaii,73
Idaho,79
Illinois,58
Indiana,76
Iowa,90
Kansas,72
Kentucky,89
Louisiana,68
Maine,83
Maryland,70
Massachusetts,60
Michigan,70
Minnesota,63
Mississippi,75
Missouri,72
Montana,83
Nebraska,73
Nevada,64
New Hampshire,70
New Jersey,61
New Mexico,80
New York,60
North Carolina,69
North Dakota,79
Ohio,67
Oklahoma,77
Oregon,71
Pennsylvania,81
Rhode Island,81
South Carolina,71
South Dakota,88
Tennessee,69
Texas,55
Utah,67
Vermont,80
Virginia,68
Washington,56
West Virginia,98
Wisconsin,77
Wyoming,90
