geoName,abuse
Alabama,69
Alaska,78
Arizona,69
Arkansas,90
California,61
Colorado,67
Connecticut,64
Delaware,90
District of Columbia,62
Florida,65
Georgia,61
Hawaii,73
Idaho,76
Illinois,63
Indiana,74
Iowa,95
Kansas,73
Kentucky,90
Louisiana,68
Maine,87
Maryland,73
Massachusetts,67
Michigan,69
Minnesota,65
Mississippi,81
Missouri,76
Montana,68
Nebraska,77
Nevada,60
New Hampshire,79
New Jersey,65
New Mexico,87
New York,64
North Carolina,75
North Dakota,79
Ohio,69
Oklahoma,86
Oregon,73
Pennsylvania,86
Rhode Island,81
South Carolina,70
South Dakota,86
Tennessee,74
Texas,61
Utah,74
Vermont,88
Virginia,73
Washington,60
West Virginia,100
Wisconsin,77
Wyoming,82
