geoName,anguish
Alabama,50
Alaska,47
Arizona,47
Arkansas,59
California,52
Colorado,44
Connecticut,46
Delaware,25
District of Columbia,30
Florida,54
Georgia,57
Hawaii,93
Idaho,92
Illinois,47
Indiana,58
Iowa,27
Kansas,55
Kentucky,52
Louisiana,51
Maine,82
Maryland,48
Massachusetts,51
Michigan,63
Minnesota,36
Mississippi,67
Missouri,45
Montana,76
Nebraska,46
Nevada,31
New Hampshire,73
New Jersey,64
New Mexico,20
New York,43
North Carolina,50
North Dakota,47
Ohio,54
Oklahoma,44
Oregon,50
Pennsylvania,51
Rhode Island,100
South Carolina,33
South Dakota,66
Tennessee,52
Texas,56
Utah,72
Vermont,29
Virginia,41
Washington,60
West Virginia,71
Wisconsin,48
Wyoming,0
