date,anguish,isPartial
2011-01-02,43,False
2011-01-09,42,False
2011-01-16,100,False
2011-01-23,59,False
2011-01-30,41,False
2011-02-06,88,False
2011-02-13,47,False
2011-02-20,59,False
2011-02-27,58,False
2011-03-06,90,False
2011-03-13,53,False
2011-03-20,63,False
2011-03-27,63,False
2011-04-03,47,False
2011-04-10,53,False
2011-04-17,40,False
2011-04-24,70,False
2011-05-01,68,False
2011-05-08,72,False
2011-05-15,99,False
2011-05-22,62,False
2011-05-29,45,False
2011-06-05,57,False
2011-06-12,42,False
2011-06-19,40,False
2011-06-26,48,False
2011-07-03,50,False
2011-07-10,52,False
2011-07-17,42,False
2011-07-24,74,False
2011-07-31,40,False
2011-08-07,41,False
2011-08-14,61,False
2011-08-21,55,False
2011-08-28,43,False
2011-09-04,88,False
2011-09-11,66,False
2011-09-18,54,False
2011-09-25,89,False
2011-10-02,80,False
2011-10-09,47,False
2011-10-16,88,False
2011-10-23,71,False
2011-10-30,55,False
2011-11-06,44,False
2011-11-13,59,False
2011-11-20,35,False
2011-11-27,75,False
2011-12-04,71,False
2011-12-11,60,False
2011-12-18,30,False
2011-12-25,35,False
