geoName,anguish
Alabama,79
Alaska,34
Arizona,51
Arkansas,87
California,66
Colorado,72
Connecticut,52
Delaware,41
District of Columbia,41
Florida,65
Georgia,59
Hawaii,80
Idaho,100
Illinois,73
Indiana,82
Iowa,79
Kansas,100
Kentucky,66
Louisiana,64
Maine,52
Maryland,70
Massachusetts,54
Michigan,67
Minnesota,60
Mississippi,65
Missouri,69
Montana,52
Nebraska,80
Nevada,74
New Hampshire,52
New Jersey,66
New Mexico,96
New York,62
North Carolina,62
North Dakota,61
Ohio,76
Oklahoma,81
Oregon,44
Pennsylvania,64
Rhode Island,42
South Carolina,67
South Dakota,63
Tennessee,81
Texas,64
Utah,72
Vermont,97
Virginia,58
Washington,71
West Virginia,54
Wisconsin,64
Wyoming,0
