geoName,anguish
Alabama,46
Alaska,100
Arizona,35
Arkansas,57
California,43
Colorado,30
Connecticut,30
Delaware,37
District of Columbia,45
Florida,47
Georgia,39
Hawaii,71
Idaho,8
Illinois,41
Indiana,61
Iowa,53
Kansas,45
Kentucky,49
Louisiana,68
Maine,22
Maryland,30
Massachusetts,39
Michigan,59
Minnesota,36
Mississippi,67
Missouri,42
Montana,76
Nebraska,41
Nevada,39
New Hampshire,82
New Jersey,44
New Mexico,54
New York,38
North Carolina,32
North Dakota,47
Ohio,38
Oklahoma,35
Oregon,76
Pennsylvania,44
Rhode Island,81
South Carolina,47
South Dakota,47
Tennessee,45
Texas,48
Utah,63
Vermont,42
Virginia,56
Washington,39
West Virginia,8
Wisconsin,49
Wyoming,0
