date,anguish,isPartial
2014-01-05,50,False
2014-01-12,60,False
2014-01-19,44,False
2014-01-26,66,False
2014-02-02,48,False
2014-02-09,56,False
2014-02-16,58,False
2014-02-23,64,False
2014-03-02,95,False
2014-03-09,58,False
2014-03-16,69,False
2014-03-23,70,False
2014-03-30,64,False
2014-04-06,71,False
2014-04-13,67,False
2014-04-20,64,False
2014-04-27,66,False
2014-05-04,58,False
2014-05-11,76,False
2014-05-18,51,False
2014-05-25,48,False
2014-06-01,64,False
2014-06-08,47,False
2014-06-15,46,False
2014-06-22,57,False
2014-06-29,32,False
2014-07-06,31,False
2014-07-13,33,False
2014-07-20,46,False
2014-07-27,31,False
2014-08-03,44,False
2014-08-10,35,False
2014-08-17,53,False
2014-08-24,81,False
2014-08-31,82,False
2014-09-07,81,False
2014-09-14,86,False
2014-09-21,69,False
2014-09-28,89,False
2014-10-05,77,False
2014-10-12,100,False
2014-10-19,54,False
2014-10-26,72,False
2014-11-02,84,False
2014-11-09,92,False
2014-11-16,72,False
2014-11-23,46,False
2014-11-30,76,False
2014-12-07,74,False
2014-12-14,78,False
2014-12-21,40,False
2014-12-28,47,False
