geoName,anguish
Alabama,76
Alaska,100
Arizona,55
Arkansas,64
California,66
Colorado,53
Connecticut,80
Delaware,69
District of Columbia,54
Florida,82
Georgia,59
Hawaii,69
Idaho,67
Illinois,83
Indiana,68
Iowa,61
Kansas,67
Kentucky,67
Louisiana,77
Maine,68
Maryland,55
Massachusetts,72
Michigan,80
Minnesota,57
Mississippi,69
Missouri,81
Montana,56
Nebraska,73
Nevada,58
New Hampshire,89
New Jersey,76
New Mexico,30
New York,68
North Carolina,75
North Dakota,17
Ohio,68
Oklahoma,56
Oregon,37
Pennsylvania,71
Rhode Island,86
South Carolina,55
South Dakota,53
Tennessee,82
Texas,74
Utah,98
Vermont,32
Virginia,52
Washington,65
West Virginia,86
Wisconsin,84
Wyoming,0
