geoName,mental health
Alabama,65
Alaska,64
Arizona,37
Arkansas,44
California,42
Colorado,67
Connecticut,52
Delaware,51
District of Columbia,50
Florida,41
Georgia,40
Hawaii,35
Idaho,61
Illinois,40
Indiana,50
Iowa,63
Kansas,61
Kentucky,41
Louisiana,47
Maine,69
Maryland,60
Massachusetts,60
Michigan,55
Minnesota,79
Mississippi,63
Missouri,53
Montana,100
Nebraska,50
Nevada,45
New Hampshire,76
New Jersey,37
New Mexico,50
New York,50
North Carolina,50
North Dakota,54
Ohio,47
Oklahoma,47
Oregon,41
Pennsylvania,49
Rhode Island,53
South Carolina,55
South Dakota,47
Tennessee,55
Texas,30
Utah,59
Vermont,94
Virginia,37
Washington,59
West Virginia,44
Wisconsin,59
Wyoming,58
