geoName,mental health
Alabama,68
Alaska,78
Arizona,42
Arkansas,49
California,49
Colorado,74
Connecticut,58
Delaware,48
District of Columbia,62
Florida,41
Georgia,45
Hawaii,37
Idaho,67
Illinois,46
Indiana,55
Iowa,73
Kansas,77
Kentucky,41
Louisiana,61
Maine,70
Maryland,68
Massachusetts,66
Michigan,60
Minnesota,98
Mississippi,73
Missouri,56
Montana,100
Nebraska,57
Nevada,46
New Hampshire,79
New Jersey,45
New Mexico,50
New York,58
North Carolina,50
North Dakota,65
Ohio,51
Oklahoma,59
Oregon,73
Pennsylvania,56
Rhode Island,59
South Carolina,63
South Dakota,54
Tennessee,62
Texas,34
Utah,61
Vermont,100
Virginia,56
Washington,64
West Virginia,50
Wisconsin,64
Wyoming,65
