geoName,mental health
Alabama,74
Alaska,82
Arizona,42
Arkansas,57
California,50
Colorado,78
Connecticut,67
Delaware,52
District of Columbia,52
Florida,47
Georgia,47
Hawaii,44
Idaho,67
Illinois,49
Indiana,56
Iowa,78
Kansas,69
Kentucky,48
Louisiana,65
Maine,69
Maryland,70
Massachusetts,72
Michigan,64
Minnesota,95
Mississippi,75
Missouri,68
Montana,100
Nebraska,59
Nevada,52
New Hampshire,96
New Jersey,49
New Mexico,63
New York,56
North Carolina,55
North Dakota,55
Ohio,54
Oklahoma,49
Oregon,61
Pennsylvania,57
Rhode Island,59
South Carolina,70
South Dakota,59
Tennessee,63
Texas,36
Utah,63
Vermont,86
Virginia,34
Washington,70
West Virginia,62
Wisconsin,71
Wyoming,67
