geoName,mental health
Alabama,78
Alaska,70
Arizona,39
Arkansas,58
California,45
Colorado,80
Connecticut,54
Delaware,58
District of Columbia,56
Florida,46
Georgia,42
Hawaii,37
Idaho,68
Illinois,44
Indiana,56
Iowa,70
Kansas,87
Kentucky,46
Louisiana,57
Maine,78
Maryland,65
Massachusetts,67
Michigan,56
Minnesota,83
Mississippi,81
Missouri,56
Montana,92
Nebraska,53
Nevada,46
New Hampshire,92
New Jersey,43
New Mexico,51
New York,52
North Carolina,59
North Dakota,62
Ohio,50
Oklahoma,68
Oregon,69
Pennsylvania,58
Rhode Island,78
South Carolina,65
South Dakota,54
Tennessee,65
Texas,30
Utah,70
Vermont,100
Virginia,55
Washington,65
West Virginia,49
Wisconsin,64
Wyoming,77
