geoName,mental health
Alabama,74
Alaska,89
Arizona,40
Arkansas,48
California,46
Colorado,82
Connecticut,54
Delaware,58
District of Columbia,54
Florida,51
Georgia,46
Hawaii,43
Idaho,67
Illinois,47
Indiana,59
Iowa,69
Kansas,90
Kentucky,48
Louisiana,64
Maine,81
Maryland,72
Massachusetts,72
Michigan,64
Minnesota,76
Mississippi,93
Missouri,64
Montana,99
Nebraska,59
Nevada,50
New Hampshire,95
New Jersey,42
New Mexico,58
New York,54
North Carolina,64
North Dakota,87
Ohio,53
Oklahoma,69
Oregon,74
Pennsylvania,56
Rhode Island,77
South Carolina,66
South Dakota,56
Tennessee,70
Texas,31
Utah,70
Vermont,100
Virginia,50
Washington,67
West Virginia,53
Wisconsin,67
Wyoming,74
