date,distracted,isPartial
2013-01-06,50,False
2013-01-13,66,False
2013-01-20,50,False
2013-01-27,72,False
2013-02-03,54,False
2013-02-10,55,False
2013-02-17,42,False
2013-02-24,75,False
2013-03-03,64,False
2013-03-10,64,False
2013-03-17,64,False
2013-03-24,69,False
2013-03-31,66,False
2013-04-07,100,False
2013-04-14,69,False
2013-04-21,70,False
2013-04-28,66,False
2013-05-05,73,False
2013-05-12,69,False
2013-05-19,55,False
2013-05-26,48,False
2013-06-02,54,False
2013-06-09,51,False
2013-06-16,42,False
2013-06-23,53,False
2013-06-30,38,False
2013-07-07,52,False
2013-07-14,42,False
2013-07-21,50,False
2013-07-28,38,False
2013-08-04,47,False
2013-08-11,41,False
2013-08-18,48,False
2013-08-25,47,False
2013-09-01,54,False
2013-09-08,72,False
2013-09-15,80,False
2013-09-22,74,False
2013-09-29,79,False
2013-10-06,84,False
2013-10-13,86,False
2013-10-20,91,False
2013-10-27,72,False
2013-11-03,76,False
2013-11-10,89,False
2013-11-17,79,False
2013-11-24,49,False
2013-12-01,70,False
2013-12-08,58,False
2013-12-15,62,False
2013-12-22,32,False
2013-12-29,32,False
