geoName,distracted
Alabama,56
Alaska,13
Arizona,47
Arkansas,59
California,40
Colorado,46
Connecticut,66
Delaware,57
District of Columbia,45
Florida,54
Georgia,45
Hawaii,50
Idaho,78
Illinois,37
Indiana,53
Iowa,49
Kansas,40
Kentucky,53
Louisiana,49
Maine,52
Maryland,58
Massachusetts,49
Michigan,51
Minnesota,62
Mississippi,50
Missouri,53
Montana,26
Nebraska,42
Nevada,45
New Hampshire,55
New Jersey,63
New Mexico,42
New York,40
North Carolina,38
North Dakota,74
Ohio,52
Oklahoma,52
Oregon,35
Pennsylvania,47
Rhode Island,45
South Carolina,46
South Dakota,42
Tennessee,35
Texas,44
Utah,75
Vermont,100
Virginia,40
Washington,46
West Virginia,23
Wisconsin,47
Wyoming,68
