date,distracted,isPartial
2014-01-05,45,False
2014-01-12,48,False
2014-01-19,42,False
2014-01-26,48,False
2014-02-02,48,False
2014-02-09,55,False
2014-02-16,38,False
2014-02-23,73,False
2014-03-02,51,False
2014-03-09,57,False
2014-03-16,61,False
2014-03-23,64,False
2014-03-30,97,False
2014-04-06,100,False
2014-04-13,88,False
2014-04-20,76,False
2014-04-27,76,False
2014-05-04,83,False
2014-05-11,71,False
2014-05-18,51,False
2014-05-25,56,False
2014-06-01,48,False
2014-06-08,40,False
2014-06-15,49,False
2014-06-22,40,False
2014-06-29,48,False
2014-07-06,43,False
2014-07-13,46,False
2014-07-20,44,False
2014-07-27,50,False
2014-08-03,46,False
2014-08-10,39,False
2014-08-17,45,False
2014-08-24,57,False
2014-08-31,43,False
2014-09-07,58,False
2014-09-14,67,False
2014-09-21,59,False
2014-09-28,66,False
2014-10-05,70,False
2014-10-12,74,False
2014-10-19,58,False
2014-10-26,73,False
2014-11-02,55,False
2014-11-09,65,False
2014-11-16,83,False
2014-11-23,50,False
2014-11-30,75,False
2014-12-07,57,False
2014-12-14,51,False
2014-12-21,27,False
2014-12-28,31,False
