date,distracted,isPartial
2012-01-01,53,False
2012-01-08,64,False
2012-01-15,57,False
2012-01-22,57,False
2012-01-29,63,False
2012-02-05,73,False
2012-02-12,46,False
2012-02-19,59,False
2012-02-26,54,False
2012-03-04,71,False
2012-03-11,77,False
2012-03-18,79,False
2012-03-25,52,False
2012-04-01,75,False
2012-04-08,100,False
2012-04-15,77,False
2012-04-22,86,False
2012-04-29,67,False
2012-05-06,62,False
2012-05-13,52,False
2012-05-20,64,False
2012-05-27,57,False
2012-06-03,75,False
2012-06-10,48,False
2012-06-17,35,False
2012-06-24,42,False
2012-07-01,39,False
2012-07-08,36,False
2012-07-15,48,False
2012-07-22,44,False
2012-07-29,41,False
2012-08-05,36,False
2012-08-12,33,False
2012-08-19,37,False
2012-08-26,54,False
2012-09-02,50,False
2012-09-09,63,False
2012-09-16,67,False
2012-09-23,63,False
2012-09-30,59,False
2012-10-07,65,False
2012-10-14,75,False
2012-10-21,58,False
2012-10-28,45,False
2012-11-04,68,False
2012-11-11,81,False
2012-11-18,63,False
2012-11-25,80,False
2012-12-02,79,False
2012-12-09,64,False
2012-12-16,45,False
2012-12-23,27,False
2012-12-30,38,False
