date,distracted,isPartial
2015-01-04,54,False
2015-01-11,69,False
2015-01-18,89,False
2015-01-25,79,False
2015-02-01,83,False
2015-02-08,70,False
2015-02-15,68,False
2015-02-22,72,False
2015-03-01,81,False
2015-03-08,58,False
2015-03-15,94,False
2015-03-22,84,False
2015-03-29,100,False
2015-04-05,100,False
2015-04-12,98,False
2015-04-19,83,False
2015-04-26,88,False
2015-05-03,72,False
2015-05-10,69,False
2015-05-17,51,False
2015-05-24,64,False
2015-05-31,59,False
2015-06-07,55,False
2015-06-14,56,False
2015-06-21,71,False
2015-06-28,76,False
2015-07-05,53,False
2015-07-12,59,False
2015-07-19,67,False
2015-07-26,49,False
2015-08-02,58,False
2015-08-09,60,False
2015-08-16,56,False
2015-08-23,66,False
2015-08-30,64,False
2015-09-06,66,False
2015-09-13,70,False
2015-09-20,85,False
2015-09-27,83,False
2015-10-04,83,False
2015-10-11,87,False
2015-10-18,90,False
2015-10-25,74,False
2015-11-01,88,False
2015-11-08,67,False
2015-11-15,99,False
2015-11-22,62,False
2015-11-29,89,False
2015-12-06,83,False
2015-12-13,68,False
2015-12-20,36,False
2015-12-27,61,False
