date,distracted,isPartial
2011-01-02,44,False
2011-01-09,51,False
2011-01-16,54,False
2011-01-23,75,False
2011-01-30,80,False
2011-02-06,74,False
2011-02-13,47,False
2011-02-20,78,False
2011-02-27,69,False
2011-03-06,71,False
2011-03-13,74,False
2011-03-20,77,False
2011-03-27,80,False
2011-04-03,94,False
2011-04-10,93,False
2011-04-17,64,False
2011-04-24,98,False
2011-05-01,100,False
2011-05-08,54,False
2011-05-15,84,False
2011-05-22,66,False
2011-05-29,62,False
2011-06-05,68,False
2011-06-12,71,False
2011-06-19,50,False
2011-06-26,51,False
2011-07-03,49,False
2011-07-10,63,False
2011-07-17,40,False
2011-07-24,42,False
2011-07-31,42,False
2011-08-07,52,False
2011-08-14,32,False
2011-08-21,64,False
2011-08-28,67,False
2011-09-04,52,False
2011-09-11,60,False
2011-09-18,79,False
2011-09-25,73,False
2011-10-02,58,False
2011-10-09,79,False
2011-10-16,75,False
2011-10-23,67,False
2011-10-30,91,False
2011-11-06,65,False
2011-11-13,74,False
2011-11-20,48,False
2011-11-27,61,False
2011-12-04,80,False
2011-12-11,98,False
2011-12-18,45,False
2011-12-25,47,False
