date,distracted,isPartial
2016-01-03,69,False
2016-01-10,71,False
2016-01-17,71,False
2016-01-24,88,False
2016-01-31,73,False
2016-02-07,85,False
2016-02-14,91,False
2016-02-21,76,False
2016-02-28,92,False
2016-03-06,80,False
2016-03-13,70,False
2016-03-20,81,False
2016-03-27,91,False
2016-04-03,99,False
2016-04-10,95,False
2016-04-17,100,False
2016-04-24,90,False
2016-05-01,94,False
2016-05-08,71,False
2016-05-15,83,False
2016-05-22,85,False
2016-05-29,56,False
2016-06-05,66,False
2016-06-12,56,False
2016-06-19,54,False
2016-06-26,65,False
2016-07-03,45,False
2016-07-10,62,False
2016-07-17,49,False
2016-07-24,63,False
2016-07-31,69,False
2016-08-07,60,False
2016-08-14,57,False
2016-08-21,66,False
2016-08-28,64,False
2016-09-04,90,False
2016-09-11,94,False
2016-09-18,69,False
2016-09-25,80,False
2016-10-02,74,False
2016-10-09,79,False
2016-10-16,92,False
2016-10-23,88,False
2016-10-30,85,False
2016-11-06,77,False
2016-11-13,95,False
2016-11-20,64,False
2016-11-27,93,False
2016-12-04,85,False
2016-12-11,71,False
2016-12-18,65,False
2016-12-25,34,False
